"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 07 01:53:12 GMT 2022","Mon Mar 07 01:53:13 GMT 2022","969","tests.body","test_google","TestGoogle","","","test_google[chromium]",""
"failed","Mon Mar 07 01:53:13 GMT 2022","Mon Mar 07 01:53:14 GMT 2022","817","tests.body","test_google","TestGoogle","","","test_fail_google[chromium]",""
"skipped","Mon Mar 07 01:53:14 GMT 2022","Mon Mar 07 01:53:14 GMT 2022","0","tests.body","test_google","TestGoogle","","","test_skip_google[chromium]",""
